cluster,kwh_ann_tot,customer_count,util,sector,building_type,rate_class,kwh_bin,kw_bin
sdge-ind-SDG1-water-gt200kW-nonCare-0.2_0.4,10536943.7958,24,sdge,ind,water,nonCare,0.2_0.4,>200kW
sdge-ind-SDG1-water-gt200kW-nonCare-0.4_0.6,17740080.7072,23,sdge,ind,water,nonCare,0.4_0.6,>200kW
sdge-ind-SDG1-water-gt200kW-nonCare-0.6_0.8,32290696.9757,24,sdge,ind,water,nonCare,0.6_0.8,>200kW
sdge-ind-SDG1-water-gt200kW-nonCare-0.8_1.0,73321104.9819,24,sdge,ind,water,nonCare,0.8_1.0,>200kW
sdge-ind-SDG1-wwater-50_200kW-nonCare-0.0_1.0,10257581.2902,40,sdge,ind,wwater,nonCare,0.0_1.0,50_200kW
sdge-ind-SDG1-wwater-lt50kW-nonCare-0.0_0.2,5468.87642802,53,sdge,ind,wwater,nonCare,0.0_0.2,<50kW
sdge-ind-SDG1-wwater-lt50kW-nonCare-0.2_0.4,32352.4863427,52,sdge,ind,wwater,nonCare,0.2_0.4,<50kW
sdge-ind-SDG1-wwater-lt50kW-nonCare-0.4_0.6,177827.437824,52,sdge,ind,wwater,nonCare,0.4_0.6,<50kW
sdge-ind-SDG1-wwater-lt50kW-nonCare-0.6_0.8,660458.062104,52,sdge,ind,wwater,nonCare,0.6_0.8,<50kW
sdge-ind-SDG1-wwater-lt50kW-nonCare-0.8_1.0,3001082.75623,53,sdge,ind,wwater,nonCare,0.8_1.0,<50kW
sdge-ind-SDG1-wwater-gt200kW-nonCare-0.0_1.0,76631207.6834,34,sdge,ind,wwater,nonCare,0.0_1.0,>200kW
sdge-res-SDG1-res_misc-noKW-Care-0.0_0.1,44686263.7052,29944,sdge,res,res_misc,Care,0.0_0.1,noKW
sdge-res-SDG1-res_misc-noKW-Care-0.1_0.2,68404540.6037,29908,sdge,res,res_misc,Care,0.1_0.2,noKW
sdge-res-SDG1-res_misc-noKW-Care-0.2_0.3,85306333.2216,29896,sdge,res,res_misc,Care,0.2_0.3,noKW
sdge-res-SDG1-res_misc-noKW-Care-0.3_0.4,101388750.04200001,29899,sdge,res,res_misc,Care,0.3_0.4,noKW
sdge-res-SDG1-res_misc-noKW-Care-0.4_0.5,117934028.261,29910,sdge,res,res_misc,Care,0.4_0.5,noKW
sdge-res-SDG1-res_misc-noKW-Care-0.5_0.6,137338460.97,29927,sdge,res,res_misc,Care,0.5_0.6,noKW
sdge-res-SDG1-res_misc-noKW-Care-0.6_0.7,159966448.648,29906,sdge,res,res_misc,Care,0.6_0.7,noKW
sdge-res-SDG1-res_misc-noKW-Care-0.7_0.8,188854838.377,29911,sdge,res,res_misc,Care,0.7_0.8,noKW
sdge-res-SDG1-res_misc-noKW-Care-0.8_0.9,234420145.78,29901,sdge,res,res_misc,Care,0.8_0.9,noKW
sdge-res-SDG1-res_misc-noKW-Care-0.9_1.0,531355954.41800004,29908,sdge,res,res_misc,Care,0.9_1.0,noKW
sdge-res-SDG1-res_misc-noKW-nonCare-0.0_0.1,113339484.641,96036,sdge,res,res_misc,nonCare,0.0_0.1,noKW
sdge-res-SDG1-res_misc-noKW-nonCare-0.1_0.2,233203270.527,96011,sdge,res,res_misc,nonCare,0.1_0.2,noKW
sdge-res-SDG1-res_misc-noKW-nonCare-0.2_0.3,311076468.648,96013,sdge,res,res_misc,nonCare,0.2_0.3,noKW
sdge-res-SDG1-res_misc-noKW-nonCare-0.3_0.4,382202102.688,96082,sdge,res,res_misc,nonCare,0.3_0.4,noKW
sdge-res-SDG1-res_misc-noKW-nonCare-0.4_0.5,453099806.544,95926,sdge,res,res_misc,nonCare,0.4_0.5,noKW
sdge-res-SDG1-res_misc-noKW-nonCare-0.5_0.6,530700077.884,96094,sdge,res,res_misc,nonCare,0.5_0.6,noKW
sdge-res-SDG1-res_misc-noKW-nonCare-0.6_0.7,619797769.305,95950,sdge,res,res_misc,nonCare,0.6_0.7,noKW
sdge-res-SDG1-res_misc-noKW-nonCare-0.7_0.8,734381628.57,96002,sdge,res,res_misc,nonCare,0.7_0.8,noKW
sdge-res-SDG1-res_misc-noKW-nonCare-0.8_0.9,913820369.713,96011,sdge,res,res_misc,nonCare,0.8_0.9,noKW
sdge-res-SDG1-res_misc-noKW-nonCare-0.9_1.0,1575237454.52,96009,sdge,res,res_misc,nonCare,0.9_1.0,noKW
