hour_ending,total,pumping,other
7128.0,1690.48596474,1352.38877179,338.097192948
7129.0,1586.84853234,1269.47882587,317.369706468
7130.0,1464.84458454,1171.87566763,292.968916908
7131.0,1316.59399706,1053.27519765,263.318799412
7132.0,1328.24554272,1062.59643418,265.649108544
7133.0,1386.59525688,1109.2762055,277.319051376
7134.0,1340.81694724,1072.65355779,268.163389448
7135.0,1244.69169559,995.753356472,248.938339118
7136.0,1178.95244852,943.161958816,235.790489704
7137.0,1234.41993823,987.535950584,246.883987646
7138.0,1306.69018326,1045.35214661,261.338036652
7139.0,1524.75805878,1219.80644702,304.951611756
7140.0,1804.85508394,1443.88406715,360.971016788
7141.0,2021.54317116,1617.23453693,404.308634232
7142.0,2114.57156463,1691.6572517,422.914312926
7143.0,2151.58055306,1721.26444245,430.316110612
7144.0,2349.50351939,1879.60281551,469.900703878
7145.0,2212.75116775,1770.2009342,442.55023355
7146.0,1860.53720738,1488.4297659,372.107441476
7147.0,1830.67245615,1464.53796492,366.13449123
7148.0,1613.86172108,1291.08937686,322.772344216
7149.0,1472.81669473,1178.25335578,294.563338946
7150.0,1462.66758522,1170.13406818,292.533517044
7151.0,1455.92195353,1164.73756282,291.184390706
7152.0,1441.87877482,1153.50301986,288.375754964
7153.0,1439.11919822,1151.29535858,287.823839644
7154.0,1397.35760563,1117.8860845,279.471521126
7155.0,1385.12348269,1108.09878615,277.024696538
7156.0,1337.47479336,1069.97983469,267.494958672
7157.0,1359.15280067,1087.32224054,271.830560134
7158.0,1409.89834819,1127.91867855,281.979669638
7159.0,1377.97924549,1102.38339639,275.595849098
7160.0,1298.22748168,1038.58198534,259.645496336
7161.0,1244.20110419,995.360883352,248.840220838
7162.0,1252.35718615,1001.88574892,250.47143723
7163.0,1325.73126181,1060.58500945,265.146252362
7164.0,1402.63146314,1122.10517051,280.526292628
7165.0,1370.46706474,1096.37365179,274.093412948
7166.0,1528.77477584,1223.01982067,305.754955168
7167.0,1621.61919753,1297.29535802,324.323839506
7168.0,1553.48831741,1242.79065393,310.697663482
7169.0,1498.14347555,1198.51478044,299.62869511
7170.0,1412.59660087,1130.0772807,282.519320174
7171.0,1395.08862042,1116.07089634,279.017724084
7172.0,1408.45723597,1126.76578878,281.691447194
7173.0,1373.96252843,1099.17002274,274.792505686
7174.0,1366.75696731,1093.40557385,273.351393462
7175.0,1347.25595931,1077.80476745,269.451191862
7176.0,1341.03158098,1072.82526478,268.206316196
7177.0,1332.78351313,1066.2268105,266.556702626
7178.0,1267.62684335,1014.10147468,253.52536867
7179.0,1205.87365138,964.698921104,241.174730276
7180.0,1232.88684012,986.309472096,246.577368024
7181.0,1208.54124209,966.832993672,241.708248418
7182.0,1207.5600593,966.04804744,241.51201186
7183.0,1239.20320434,991.362563472,247.840640868
7184.0,1367.9834458,1094.38675664,273.59668916
7185.0,1748.40641143,1398.72512914,349.681282286
7186.0,2153.72689042,1722.98151234,430.745378084
7187.0,2189.26410467,1751.41128374,437.852820934
7188.0,2440.90682886,1952.72546309,488.181365772
7189.0,2427.23159369,1941.78527495,485.446318738
7190.0,2441.0294767,1952.82358136,488.20589534
7191.0,2659.37330989,2127.49864791,531.874661978
7192.0,2636.56080997,2109.24864798,527.312161994
7193.0,2350.76065984,1880.60852787,470.152131968
7194.0,2183.34634595,1746.67707676,436.66926919
7195.0,2052.23579537,1641.7886363,410.447159074
7196.0,1996.33903819,1597.07123055,399.267807638
7197.0,1893.16153522,1514.52922818,378.632307044
7198.0,1844.37835328,1475.50268262,368.875670656
7199.0,1843.64246618,1474.91397294,368.728493236
7200.0,1798.04812832,1438.43850266,359.609625664
7201.0,1565.99839801,1252.79871841,313.199679602
7202.0,1506.23823358,1204.99058686,301.247646716
7203.0,1335.35911796,1068.28729437,267.071823592
7204.0,1341.828792,1073.4630336,268.3657584
7205.0,1378.16321726,1102.53057381,275.632643452
7206.0,1420.90599264,1136.72479411,284.181198528
7207.0,1434.67321369,1147.73857095,286.934642738
7208.0,1509.82568316,1207.86054653,301.965136632
7209.0,1856.9497578,1485.55980624,371.38995156
7210.0,2206.15884587,1764.9270767,441.231769174
7211.0,2225.96647348,1780.77317878,445.193294696
7212.0,2431.73890214,1945.39112171,486.347780428
7213.0,2445.69009497,1956.55207598,489.138018994
7214.0,2529.94916723,2023.95933378,505.989833446
7215.0,2699.17253689,2159.33802951,539.834507378
7216.0,2593.75671067,2075.00536854,518.751342134
