hour_ending,cooling,poolpump,plugload,other,total
7844.0,4.525587547,688.799832,6017.38793313,14040.571844,20751.2851966
7845.0,12.5480171306,553.05096,6026.04928677,14060.7816691,20652.429933
7846.0,15.6013812148,397.191144,5506.17268101,12847.7362557,18766.7014619
7847.0,20.0321752192,276.52548,4792.35705486,11182.1664613,16271.0811714
7848.0,3.1824586075,306.691896,3785.5114599,8832.8600731,12928.2458876
7849.0,0.0,326.80284,3329.12283909,7767.95329121,11423.8789703
7850.0,0.0,251.3868,3001.18732251,7002.77041919,10255.3445417
7851.0,0.0,316.747368,2777.87833375,6481.71611208,9576.34181383
7852.0,0.0,361.996992,2698.46960614,6296.42908101,9356.89567915
7853.0,0.0,356.969256,2868.50447234,6693.17710213,9918.65083047
7854.0,0.0,477.63492,3229.3293255,7535.1017595,11242.066005
7855.0,0.0,879.8538,3486.68602044,8135.60071436,12502.1405348
7856.0,0.0,1151.351544,3669.44804649,8562.04544181,13382.8450323
7857.0,11.9090528778,1407.76608,3738.30485889,8722.71133741,13880.6913292
7858.0,19.6592542529,1935.67836,3653.7573384,8525.4337896,14134.5287423
7859.0,103.214303072,2332.869504,3432.75096522,8009.75225218,13878.5870245
7860.0,281.925501255,2523.923472,3373.60610427,7871.74757663,14051.2026542
7861.0,525.102273202,2347.952712,3389.29901982,7908.36437958,14170.7183846
7862.0,590.859338456,2257.453464,3176.12612685,7410.96096265,13435.399892
7863.0,582.862932444,2041.260816,3413.42020542,7964.64714598,14002.1910998
7864.0,344.365982064,1704.402504,3734.38953765,8713.57558785,14496.7336116
7865.0,210.851840599,1417.821552,4318.47403545,10076.4394161,16023.5868441
7866.0,181.88911064,990.463992,5793.19279485,13517.4498546,20482.9957521
7867.0,126.00990574,754.1604,6206.09739876,14480.8939304,21567.1616349
7868.0,124.132133242,688.799832,6121.87684323,14284.3793009,21219.1881093
7869.0,40.0268797302,553.05096,5930.4420609,13837.6981421,20361.2180427
7870.0,0.0,397.191144,5691.37955721,13279.8856335,19368.4563347
7871.0,0.0,276.52548,4881.65120598,11390.5194806,16548.6961666
7872.0,0.0,306.691896,4121.82852108,9617.59988252,14046.1202996
7873.0,0.0,326.80284,3335.98460661,7783.96408209,11446.7515287
7874.0,0.0,251.3868,3002.13069381,7004.97161889,10258.4891127
7875.0,0.0,316.747368,2795.80238856,6523.53890663,9636.08866319
7876.0,0.0,361.996992,2673.7398012,6238.72620281,9274.46299601
7877.0,0.0,356.969256,2831.51084042,6606.85862766,9795.33872408
7878.0,0.0,477.63492,3130.61225673,7304.76193237,10913.0091091
7879.0,0.0,879.8538,3537.49330362,8254.15104178,12671.4981454
7880.0,0.0,1151.351544,3808.46054676,8886.40794244,13846.2200332
7881.0,0.0,1407.76608,3761.08053756,8775.85458764,13944.7012052
7882.0,1.3431289395,1935.67836,3612.84554718,8429.97294342,13979.8399795
7883.0,49.1116029047,2332.869504,3340.3252386,7794.0922234,13516.3985689
7884.0,149.61224361,2523.923472,3183.03077232,7427.07180208,13283.63829
7885.0,213.925561738,2347.952712,3366.51309183,7855.19721427,13783.5885798
7886.0,203.040832205,2257.453464,3180.53642166,7421.25165054,13062.2823684
7887.0,152.479011546,2041.260816,3300.87534126,7702.04246294,13196.6576317
7888.0,142.453478543,1704.402504,3505.8341322,8180.2796418,13532.9697565
7889.0,139.869875634,1417.821552,4181.34121464,9756.46283416,15495.4954764
7890.0,46.52966572,990.463992,5754.87117672,13428.0327457,20219.8975801
7891.0,45.9428618144,754.1604,6080.26605381,14187.2874589,21067.6567745
7892.0,45.9428618144,688.799832,6206.84737623,14482.6438779,21424.2339479
7893.0,41.4935992952,553.05096,6116.57405523,14272.0061289,20983.1247434
7894.0,6.12461448842,397.191144,5683.56879561,13261.6605231,19348.5450772
7895.0,4.03005526444,276.52548,4959.51281973,11572.1965794,16812.2649344
7896.0,0.63896425277,306.691896,4128.04573476,9632.10671444,14067.4833095
7897.0,0.63896425277,326.80284,3466.7571612,8089.1000428,11883.2990083
7898.0,0.63896425277,251.3868,3114.32449554,7266.75715626,10633.1074161
7899.0,0.0521603471649,316.747368,2861.23192697,6676.20782961,9854.23928493
7900.0,0.0,361.996992,2822.7924675,6586.51575751,9771.30521701
7901.0,0.0,356.969256,2886.36114348,6734.84266813,9978.17306761
7902.0,0.0,477.63492,3081.35479785,7189.82786165,10748.8175795
7903.0,0.0,879.8538,3459.53040357,8072.23760833,12411.6218119
7904.0,0.0,1151.351544,3644.71824153,8504.34256357,13300.4123491
7905.0,0.0,1407.76608,3603.49529343,8408.15568467,13419.4170581
7906.0,6.88029084224,1935.67836,3657.66558366,8534.55302854,14134.777263
7907.0,377.508797467,2332.869504,3398.18680632,7929.10254808,14037.6676559
7908.0,628.585010333,2523.923472,3171.06466146,7399.15087674,13722.7240205
7909.0,580.777503257,2347.952712,3224.35175778,7523.48743482,13676.5694079
7910.0,499.535823695,2257.453464,3479.83614939,8119.61768191,14356.443119
7911.0,417.623893196,2041.260816,3572.5703001,8335.9973669,14367.4523762
7912.0,568.775211153,1704.402504,3978.10158666,9282.23703554,15533.5163374
7913.0,243.324397877,1417.821552,4433.8098636,10345.5563484,16440.5121619
7914.0,101.840265695,990.463992,5655.68707767,13196.6031812,19944.5945166
7915.0,93.9850419365,754.1604,6181.43581224,14423.3502286,21452.9314827
7916.0,7.08892324641,688.799832,6045.6990963,14106.6312247,20848.2190762
7917.0,0.0521603471649,553.05096,6264.15269337,14616.3562845,21433.6120982
7918.0,0.0,397.191144,5949.93316644,13883.1773884,20230.3016988
7919.0,0.0,276.52548,5316.70647633,12405.6484448,17998.8804011
7920.0,0.0,306.691896,4678.3808652,10916.2220188,15901.29478
7921.0,0.0,326.80284,3934.88801469,9181.40536761,13443.0962223
7922.0,0.0,251.3868,3428.80405866,8000.54280354,11680.7336622
7923.0,0.0,316.747368,3116.27909784,7271.31789496,10704.3443608
7924.0,0.0,361.996992,2885.79619399,6733.52445264,9981.31763863
7925.0,0.0,356.969256,2860.08151425,6673.52353326,9890.57430351
7926.0,0.0,477.63492,2956.96455282,6899.58395658,10334.1834294
7927.0,0.0,879.8538,3199.05262899,7464.45613431,11543.3625633
7928.0,0.0,1151.351544,3699.50116095,8632.16937555,13483.0220805
7929.0,0.63896425277,1407.76608,4488.0204609,10472.0477421,16368.4732473
7930.0,6.71141839403,1935.67836,4935.04737561,11515.1105431,18392.5476971
7931.0,128.512067853,2332.869504,5052.17541426,11788.4092999,19301.9662861
7932.0,144.872110069,2523.923472,5311.66733598,12393.8904506,20374.3533687
7933.0,237.537211132,2347.952712,5409.05973564,12621.1393832,20615.6890419
7934.0,207.540461768,2257.453464,5337.42471906,12453.9910111,20256.409656
7935.0,328.22187754,2041.260816,5193.52986951,12118.2363622,19681.2489252
7936.0,333.210000039,1704.402504,5449.61998761,12715.7799711,20203.0124627
7937.0,330.336343696,1417.821552,5622.13408632,13118.3128681,20488.6048501
7938.0,93.632126731,990.463992,6077.21680749,14180.1725508,21341.485477
7939.0,46.1625693977,754.1604,5801.87418294,13537.7064269,20139.9035792
7940.0,44.2847483836,688.799832,5565.02403888,12985.0560907,19283.16471
7941.0,2.15294941556,553.05096,5370.90196581,12532.1045869,18458.2104621
7942.0,1.56614550996,397.191144,5102.23188843,11905.2077397,17406.1969176
7943.0,0.0,276.52548,4896.69842787,11425.629665,16598.8535729
7944.0,0.0,306.691896,4268.09737899,9958.89388431,14533.6831593
7945.0,0.0,326.80284,3809.26832883,8888.29276727,13024.3639361
7946.0,0.0,251.3868,3284.93993454,7664.85984726,11201.1865818
7947.0,0.0,316.747368,2971.87590441,6934.37711029,10223.0003827
7948.0,0.0,361.996992,2821.57956154,6583.68564359,9767.26219713
7949.0,0.0,356.969256,2736.43248954,6385.00914227,9478.41088781
