hour_ending,total,pumping,process,other
280.0,2736.77463973,1368.38731987,684.193659933,684.193659933
281.0,3404.65285442,1702.32642721,851.163213605,851.163213605
282.0,3198.61854819,1599.3092741,799.654637048,799.654637048
283.0,3719.95919577,1859.97959788,929.989798942,929.989798942
284.0,3209.96023183,1604.98011591,802.490057957,802.490057957
285.0,2568.30730558,1284.15365279,642.076826395,642.076826395
286.0,1986.03807841,993.019039205,496.509519603,496.509519603
287.0,2374.51900328,1187.25950164,593.62975082,593.62975082
288.0,1940.55830379,970.279151895,485.139575948,485.139575948
289.0,2222.96999457,1111.48499728,555.742498642,555.742498642
290.0,2000.54488307,1000.27244153,500.136220767,500.136220767
291.0,1489.22711871,744.613559355,372.306779678,372.306779678
292.0,1448.08054548,724.04027274,362.02013637,362.02013637
293.0,1642.8862081,821.44310405,410.721552025,410.721552025
294.0,1370.00756039,685.003780195,342.501890097,342.501890097
295.0,2199.79678712,1099.89839356,549.94919678,549.94919678
296.0,2703.01334888,1351.50667444,675.75333722,675.75333722
297.0,3100.72587672,1550.36293836,775.18146918,775.18146918
298.0,2656.17709382,1328.08854691,664.044273455,664.044273455
299.0,3138.78268895,1569.39134448,784.695672238,784.695672238
300.0,2327.83346828,1163.91673414,581.95836707,581.95836707
301.0,1897.56540997,948.782704985,474.391352493,474.391352493
302.0,1866.21563989,933.107819945,466.553909972,466.553909972
303.0,2600.1092358,1300.0546179,650.02730895,650.02730895
304.0,2987.04528018,1493.52264009,746.761320045,746.761320045
305.0,4165.07317885,2082.53658942,1041.26829471,1041.26829471
306.0,4304.94138381,2152.4706919,1076.23534595,1076.23534595
307.0,4366.39748357,2183.19874179,1091.59937089,1091.59937089
308.0,4205.42847183,2102.71423591,1051.35711796,1051.35711796
309.0,4512.7089706,2256.3544853,1128.17724265,1128.17724265
310.0,3589.36027379,1794.6801369,897.340068448,897.340068448
311.0,3392.1430904,1696.0715452,848.0357726,848.0357726
312.0,2738.50792029,1369.25396015,684.626980073,684.626980073
313.0,3167.04269804,1583.52134902,791.76067451,791.76067451
314.0,2761.15360757,1380.57680379,690.288401893,690.288401893
315.0,2924.15733996,1462.07866998,731.03933499,731.03933499
316.0,2434.80702266,1217.40351133,608.701755665,608.701755665
317.0,2101.94179566,1050.97089783,525.485448915,525.485448915
318.0,2429.26806088,1214.63403044,607.31701522,607.31701522
319.0,2488.04887978,1244.02443989,622.012219945,622.012219945
320.0,2666.61445718,1333.30722859,666.653614295,666.653614295
321.0,2562.27850364,1281.13925182,640.56962591,640.56962591
322.0,2594.57027402,1297.28513701,648.642568505,648.642568505
323.0,2533.90545452,1266.95272726,633.47636363,633.47636363
324.0,2578.66930891,1289.33465445,644.667327227,644.667327227
325.0,2447.20374665,1223.60187333,611.800936663,611.800936663
326.0,2643.25284967,1321.62642484,660.813212418,660.813212418
327.0,2279.33929269,1139.66964635,569.834823173,569.834823173
328.0,2704.29446929,1352.14723465,676.073617323,676.073617323
329.0,2443.81254556,1221.90627278,610.95313639,610.95313639
330.0,3271.19025152,1635.59512576,817.79756288,817.79756288
331.0,3928.81950291,1964.40975146,982.204875728,982.204875728
332.0,4291.45193948,2145.72596974,1072.86298487,1072.86298487
333.0,4303.09506322,2151.54753161,1075.77376581,1075.77376581
334.0,4142.54053161,2071.2702658,1035.6351329,1035.6351329
335.0,3311.84698459,1655.92349229,827.961746147,827.961746147
336.0,2456.05854949,1228.02927475,614.014637373,614.014637373
337.0,3015.60672936,1507.80336468,753.90168234,753.90168234
338.0,2872.87484348,1436.43742174,718.21871087,718.21871087
339.0,3170.47157914,1585.23578957,792.617894785,792.617894785
340.0,4315.68018727,2157.84009363,1078.92004682,1078.92004682
341.0,3833.86587239,1916.93293619,958.466468097,958.466468097
342.0,4134.02484887,2067.01242443,1033.50621222,1033.50621222
343.0,3465.92055411,1732.96027706,866.480138528,866.480138528
344.0,3303.29362184,1651.64681092,825.82340546,825.82340546
345.0,3607.29595956,1803.64797978,901.82398989,901.82398989
346.0,3883.15132823,1941.57566412,970.787832058,970.787832058
347.0,3633.8603681,1816.93018405,908.465092025,908.465092025
348.0,3578.20699021,1789.10349511,894.551747553,894.551747553
349.0,2395.0922899,1197.54614495,598.773072475,598.773072475
