hour_ending,total
2978.0,30263.8968199
2979.0,28899.4314645
2980.0,27938.4346497
2981.0,26721.868953
2982.0,27563.5891767
2983.0,30237.323663
2984.0,33485.6007485
2985.0,38067.7478821
2986.0,42618.439612
2987.0,47145.1913804
2988.0,50704.1433625
2989.0,53534.5600415
2990.0,54758.7708503
2991.0,55093.6827288
2992.0,53798.2482587
2993.0,50831.4026948
2994.0,48500.781788
2995.0,45974.7124227
2996.0,44644.115137
2997.0,45214.148515
2998.0,42768.2699295
2999.0,39089.1321004
3000.0,34629.8875275
3001.0,31711.7842469
3002.0,30036.0750762
3003.0,28465.4921819
3004.0,27596.1215447
3005.0,27017.0392643
3006.0,28091.0164527
3007.0,30729.4264546
3008.0,34228.7933396
3009.0,36929.9336776
3010.0,42549.3752426
3011.0,47261.6638726
3012.0,49584.0051294
3013.0,51317.2266789
3014.0,52017.4406958
3015.0,51921.3877941
3016.0,50511.5449906
3017.0,48400.6067793
3018.0,46553.1047463
3019.0,45027.5670639
3020.0,43663.464317
3021.0,44214.662129
3022.0,42857.1478705
3023.0,38415.2335953
3024.0,32968.6438124
3025.0,28547.3781592
3026.0,26767.4607834
3027.0,25609.2656487
3028.0,24713.1456451
3029.0,24414.8249673
3030.0,25796.9481136
3031.0,29292.8894759
3032.0,33142.7879882
3033.0,38105.4703659
3034.0,41592.0746008
3035.0,45552.1540028
3036.0,49364.1930571
3037.0,50018.8526191
3038.0,51435.2460319
3039.0,51599.2669317
3040.0,51181.660505
3041.0,48732.2773606
3042.0,46542.1631623
3043.0,45308.6967682
3044.0,44760.4830284
3045.0,46297.0754653
3046.0,43379.69799
3047.0,39034.3848213
3048.0,34896.0925791
3049.0,31409.6700205
3050.0,29868.6473795
3051.0,28127.207876
3052.0,26917.7912466
3053.0,26865.5210212
3054.0,27967.11781
3055.0,30785.8842326
3056.0,33930.8088677
3057.0,38360.1851769
3058.0,42869.1373682
3059.0,46619.9166698
3060.0,50331.150107
3061.0,52341.1517585
3062.0,53900.2921338
3063.0,53966.7620998
3064.0,52527.5853636
3065.0,50011.7761676
3066.0,48444.1894097
3067.0,47345.8054132
3068.0,45803.8759341
3069.0,46310.2355026
3070.0,45102.0329666
3071.0,40968.562558
3072.0,35231.6857473
3073.0,31833.7767661
3074.0,29961.7993508
3075.0,28341.5475566
3076.0,27142.5647254
3077.0,26470.1341354
3078.0,27759.0183052
3079.0,30788.0230147
3080.0,33260.9853496
3081.0,36609.6723625
3082.0,42334.1203627
3083.0,46128.4785699
3084.0,50285.39427
3085.0,53307.9568096
3086.0,55048.7731676
3087.0,55964.6409243
3088.0,54579.4576581
3089.0,52158.2736258
3090.0,50787.6231367
3091.0,47958.3887603
3092.0,45883.1021816
3093.0,46736.5042743
3094.0,46472.4160139
3095.0,43518.5637256
3096.0,38572.7409841
3097.0,34478.1550231
3098.0,31141.8780974
3099.0,29256.2306818
3100.0,27816.7734787
3101.0,26855.7653045
3102.0,26437.8027535
3103.0,27154.7178099
3104.0,28183.6888121
3105.0,30060.0258823
3106.0,33681.1456956
3107.0,37637.0952973
3108.0,41053.3729062
3109.0,42826.0299571
3110.0,43243.408643
3111.0,43243.0326478
3112.0,44427.4178654
3113.0,45357.982079
3114.0,44687.4341373
3115.0,43917.9642127
3116.0,42777.0662519
3117.0,43886.761917
3118.0,44925.2733193
3119.0,42783.4616573
3120.0,37517.7356075
3121.0,33728.0581875
3122.0,30801.1242835
3123.0,28998.2082415
3124.0,27745.3817806
3125.0,26338.9267357
3126.0,26122.9449323
3127.0,26565.9505561
3128.0,27993.8991091
3129.0,31179.8441416
3130.0,34649.8275943
3131.0,38581.7359062
3132.0,41579.7837421
3133.0,43972.8691544
3134.0,44205.0972895
3135.0,43607.5585404
3136.0,43791.5931829
3137.0,43652.1994596
3138.0,43939.5901074
3139.0,43136.3293767
3140.0,42260.4742083
3141.0,41919.8341437
3142.0,41301.9498241
3143.0,38545.6701685
3144.0,33843.8779183
3145.0,30673.5931591
3146.0,28867.6488713
3147.0,27644.9202442
3148.0,26649.9898005
3149.0,26125.1189289
3150.0,26263.1464879
3151.0,28950.998304
3152.0,32004.7759136
3153.0,36028.1536321
3154.0,40774.7168323
3155.0,46152.0196727
3156.0,51961.6468545
3157.0,56241.8016362
3158.0,58353.7721139
3159.0,60372.5041625
3160.0,60139.1172577
3161.0,56583.1347703
3162.0,54045.8154264
3163.0,50403.1000977
3164.0,47728.9568424
3165.0,46569.547669
3166.0,44648.9928302
3167.0,40119.5329544
3168.0,34072.5041314
3169.0,30656.5856309
3170.0,28589.3593193
3171.0,26854.3516718
3172.0,25645.5342758
3173.0,25880.3820332
3174.0,26611.5833752
3175.0,29762.7057313
3176.0,33211.2976773
3177.0,37975.5381134
3178.0,44800.1680679
3179.0,51255.0302225
3180.0,57133.8441397
3181.0,60551.668766
3182.0,63908.6206097
3183.0,64637.6865268
3184.0,64710.7822348
3185.0,62574.6974064
3186.0,60050.7124834
3187.0,55813.6804198
3188.0,52057.4181623
3189.0,50865.8597485
3190.0,48080.5442794
3191.0,43744.7364133
3192.0,37721.7798221
3193.0,33703.4194304
3194.0,31597.1530755
3195.0,29243.206999
3196.0,28059.1821246
3197.0,27513.8908334
3198.0,28388.4493822
3199.0,31436.3969186
3200.0,34065.1753223
3201.0,40860.0255742
3202.0,50234.0877717
3203.0,58713.9283741
3204.0,63383.7619976
3205.0,67451.7909839
3206.0,70199.0513557
3207.0,69739.7483075
3208.0,68487.6863851
3209.0,65313.3542393
3210.0,61248.1505079
3211.0,58610.258958
3212.0,55966.9575425
3213.0,54486.5933042
3214.0,51688.7456729
3215.0,44835.7016781
3216.0,37782.7968325
3217.0,33448.7623918
3218.0,30987.9829025
3219.0,29163.5960286
3220.0,27826.73193
3221.0,28031.6741625
3222.0,29395.0439929
3223.0,31087.8430304
3224.0,33323.1792485
3225.0,37538.0949788
3226.0,43476.9525436
3227.0,51741.6190527
3228.0,57553.6924276
3229.0,61733.4084252
3230.0,63367.0609837
3231.0,63137.2279924
3232.0,61933.14535
3233.0,60665.7236042
3234.0,58981.8528615
3235.0,57073.4831185
3236.0,55711.7779499
3237.0,55189.6794184
3238.0,53579.7572883
3239.0,47447.7920006
3240.0,41077.8225112
3241.0,36218.9585699
3242.0,33720.2683796
3243.0,31334.5082747
3244.0,30217.6265779
3245.0,29111.8715352
3246.0,29942.0804507
3247.0,32087.4263992
3248.0,34804.1309433
3249.0,40346.0380201
3250.0,47029.6335236
3251.0,52992.9066753
3252.0,59169.263742
3253.0,61904.6943651
3254.0,63563.9483931
3255.0,64587.2963337
3256.0,62762.8876042
3257.0,60887.126642
3258.0,60257.1671116
3259.0,58193.9775721
3260.0,55470.3812658
3261.0,55492.5315139
3262.0,54397.2520017
3263.0,50570.1375088
3264.0,44968.7188653
3265.0,39878.3571527
3266.0,35841.7697043
3267.0,32989.4744359
3268.0,31084.9969402
3269.0,29526.3516572
3270.0,28620.6543264
3271.0,30009.3913095
3272.0,31624.5442413
3273.0,34591.8338377
3274.0,39100.070795
3275.0,43922.5362531
3276.0,47822.3392198
3277.0,50072.2801783
3278.0,51273.2146437
3279.0,52202.241846
3280.0,52165.1356305
3281.0,52166.9044164
3282.0,51865.2244368
3283.0,50430.734734
3284.0,48566.8016903
3285.0,49235.1075097
3286.0,49392.4736133
3287.0,46053.217415
3288.0,41909.6539422
3289.0,37742.5117756
3290.0,34170.4906935
3291.0,31729.7901219
3292.0,29239.2166931
3293.0,28410.3541683
3294.0,27938.7626291
3295.0,28968.9339522
3296.0,30927.5132867
3297.0,33923.3077671
3298.0,38336.1138722
3299.0,42268.799298
3300.0,46111.4625064
3301.0,48829.7296978
3302.0,48621.2565342
3303.0,48388.9016369
3304.0,48193.7336875
3305.0,48278.8343222
3306.0,47262.8293353
3307.0,46886.1348314
3308.0,45558.4725818
3309.0,46085.6758695
3310.0,45842.2048823
3311.0,41482.7583814
3312.0,37115.2724302
3313.0,33460.8405658
3314.0,31437.2469754
3315.0,30119.8496318
3316.0,28734.9761122
3317.0,28248.7569716
3318.0,28011.681291
3319.0,31426.0904017
3320.0,35097.691104
3321.0,40764.5474103
3322.0,46214.0453073
3323.0,50658.5177365
3324.0,52983.1299947
3325.0,54827.3583661
3326.0,55954.7304987
3327.0,55679.9218831
3328.0,54372.1553651
3329.0,51345.6292695
3330.0,48661.4422279
3331.0,45995.8542923
3332.0,44169.7494921
3333.0,44918.014806
3334.0,44518.0157953
3335.0,39924.8110411
3336.0,35406.9717898
3337.0,32204.2030778
3338.0,30112.4391766
3339.0,28300.4623218
3340.0,27432.0131679
3341.0,27093.3976877
3342.0,26954.7401624
3343.0,29851.7682658
3344.0,33915.7984712
3345.0,38470.0676798
3346.0,43231.1389611
3347.0,47599.5504101
3348.0,49984.2162051
3349.0,52280.1282944
3350.0,53072.624976
3351.0,53059.2458
3352.0,51245.5891208
3353.0,48259.7483977
3354.0,46750.6881254
3355.0,44620.4247551
3356.0,43331.0640583
3357.0,44082.9731755
3358.0,43095.6760898
3359.0,37617.6622815
3360.0,32777.3291815
3361.0,29481.0752143
3362.0,27656.0170917
3363.0,26508.6256314
3364.0,25704.3024986
3365.0,25610.3395772
3366.0,26005.9817701
3367.0,29088.7930205
3368.0,33519.1918156
3369.0,38480.1691238
3370.0,43737.1826211
3371.0,47275.4847206
3372.0,50386.3464662
3373.0,52350.0075646
3374.0,53798.2785058
3375.0,53745.6851556
3376.0,52876.9660041
3377.0,49629.983138
3378.0,48456.3951268
3379.0,46561.7957736
3380.0,44993.8863778
3381.0,46479.9631917
3382.0,45670.1295373
