hour_ending,total,pumping,process,other
5315.0,9972.48678614,3490.37037515,4986.24339307,1495.87301792
5316.0,11042.3922255,3864.83727892,5521.19611275,1656.35883382
5317.0,12707.9615777,4447.7865522,6353.98078885,1906.19423666
5318.0,12725.1336062,4453.79676217,6362.5668031,1908.77004093
5319.0,12991.2266638,4546.92933233,6495.6133319,1948.68399957
5320.0,12022.7829622,4207.97403677,6011.3914811,1803.41744433
5321.0,12049.656453,4217.37975855,6024.8282265,1807.44846795
5322.0,12141.1378666,4249.39825331,6070.5689333,1821.17067999
5323.0,12251.1415878,4287.89955573,6125.5707939,1837.67123817
5324.0,12741.5424335,4459.53985172,6370.77121675,1911.23136502
5325.0,13012.3467912,4554.32137692,6506.1733956,1951.85201868
5326.0,12842.24097,4494.7843395,6421.120485,1926.3361455
5327.0,12715.8577754,4450.55022139,6357.9288877,1907.37866631
5328.0,12474.5394052,4366.08879182,6237.2697026,1871.18091078
5329.0,12174.8654919,4261.20292217,6087.43274595,1826.22982379
5330.0,11949.1633938,4182.20718783,5974.5816969,1792.37450907
5331.0,11907.8184327,4167.73645145,5953.90921635,1786.1727649
5332.0,10354.997391,3624.24908685,5177.4986955,1553.24960865
5333.0,7963.87314084,2787.35559929,3981.93657042,1194.58097113
5334.0,7836.02225147,2742.60778801,3918.01112573,1175.40333772
5335.0,8718.79661064,3051.57881372,4359.39830532,1307.8194916
5336.0,8757.04473573,3064.96565751,4378.52236786,1313.55671036
5337.0,9747.78272045,3411.72395216,4873.89136023,1462.16740807
5338.0,9706.21760523,3397.17616183,4853.10880262,1455.93264078
5339.0,11934.5304771,4177.08566698,5967.26523855,1790.17957156
5340.0,13143.0303314,4600.06061599,6571.5151657,1971.45454971
5341.0,12760.1968337,4466.0688918,6380.09841685,1914.02952506
5342.0,12552.6060888,4393.41213108,6276.3030444,1882.89091332
5343.0,12386.2282123,4335.1798743,6193.11410615,1857.93423184
5344.0,12255.9556266,4289.58446931,6127.9778133,1838.39334399
5345.0,12211.9541381,4274.18394833,6105.97706905,1831.79312071
5346.0,12154.2150268,4253.97525938,6077.1075134,1823.13225402
5347.0,11563.5999839,4047.25999436,5781.79999195,1734.53999758
5348.0,11834.8886808,4142.21103828,5917.4443404,1775.23330212
5349.0,12550.1256846,4392.54398961,6275.0628423,1882.51885269
5350.0,13168.9351437,4609.1273003,6584.46757185,1975.34027156
5351.0,13084.7922038,4579.67727133,6542.3961019,1962.71883057
5352.0,12913.5709347,4519.74982715,6456.78546735,1937.03564021
5353.0,12611.4166173,4413.99581605,6305.70830865,1891.71249259
5354.0,12327.1534988,4314.50372458,6163.5767494,1849.07302482
5355.0,11776.2983065,4121.70440727,5888.14915325,1766.44474597
5356.0,12156.7101079,4254.84853776,6078.35505395,1823.50651619
5357.0,8893.15874652,3112.60556128,4446.57937326,1333.97381198
5358.0,9917.58032567,3471.15311398,4958.79016284,1487.63704885
5359.0,10409.8451436,3643.44580026,5204.9225718,1561.47677154
5360.0,8754.98996309,3064.24648708,4377.49498154,1313.24849446
5361.0,9057.32040391,3170.06214137,4528.66020196,1358.59806059
5362.0,9678.50752842,3387.47763495,4839.25376421,1451.77612926
5363.0,10956.6201445,3834.81705057,5478.31007225,1643.49302167
5364.0,10651.3543142,3727.97400997,5325.6771571,1597.70314713
5365.0,12152.1309002,4253.24581507,6076.0654501,1822.81963503
5366.0,11450.0737952,4007.52582832,5725.0368976,1717.51106928
5367.0,10561.1204412,3696.39215442,5280.5602206,1584.16806618
5368.0,10691.363673,3741.97728555,5345.6818365,1603.70455095
5369.0,10448.4895463,3656.9713412,5224.24477315,1567.27343194
5370.0,13329.7211031,4665.40238609,6664.86055155,1999.45816547
5371.0,15207.5191157,5322.63169049,7603.75955785,2281.12786736
5372.0,12887.9596614,4510.78588149,6443.9798307,1933.19394921
5373.0,12698.2307615,4444.38076652,6349.11538075,1904.73461422
5374.0,13033.7604575,4561.81616012,6516.88022875,1955.06406862
5375.0,13038.104834,4563.3366919,6519.052417,1955.7157251
5376.0,12738.4602745,4458.46109607,6369.23013725,1910.76904117
5377.0,12316.2925576,4310.70239516,6158.1462788,1847.44388364
5378.0,12130.9080342,4245.81781197,6065.4540171,1819.63620513
5379.0,10201.050889,3570.36781115,5100.5254445,1530.15763335
5380.0,8303.05739675,2906.07008886,4151.52869838,1245.45860951
5381.0,7869.36827611,2754.27889664,3934.68413805,1180.40524142
5382.0,9931.33262545,3475.96641891,4965.66631273,1489.69989382
5383.0,9901.09811367,3465.38433978,4950.54905683,1485.16471705
5384.0,9649.87280391,3377.45548137,4824.93640196,1447.48092059
5385.0,10151.1639446,3552.90738061,5075.5819723,1522.67459169
5386.0,9924.56655266,3473.59829343,4962.28327633,1488.6849829
5387.0,9778.01723223,3422.30603128,4889.00861612,1466.70258483
5388.0,12037.5920022,4213.15720077,6018.7960011,1805.63880033
5389.0,13239.1056295,4633.68697032,6619.55281475,1985.86584442
5390.0,13288.8604814,4651.10116849,6644.4302407,1993.32907221
5391.0,13400.1410971,4690.04938398,6700.07054855,2010.02116456
5392.0,13173.9106288,4610.86872008,6586.9553144,1976.08659432
5393.0,12739.5023378,4458.82581823,6369.7511689,1910.92535067
5394.0,12054.8227386,4219.18795851,6027.4113693,1808.22341079
5395.0,12941.3250424,4529.46376484,6470.6625212,1941.19875636
5396.0,12982.8167729,4543.98587051,6491.40838645,1947.42251593
5397.0,12589.8121506,4406.43425271,6294.9060753,1888.47182259
5398.0,12782.3443474,4473.82052159,6391.1721737,1917.35165211
5399.0,12706.4204982,4447.24717437,6353.2102491,1905.96307473
5400.0,12450.4985653,4357.67449785,6225.24928265,1867.57478479
5401.0,12240.3980623,4284.1393218,6120.19903115,1836.05970934
