hour_ending,total,pumping,other
7530.0,760.821782129,608.657425703,152.164356426
7531.0,648.733994115,518.987195292,129.746798823
7532.0,502.901798998,402.321439198,100.5803598
7533.0,502.981174258,402.384939406,100.596234852
7534.0,553.463839161,442.771071329,110.692767832
7535.0,892.237445779,713.789956623,178.447489156
7536.0,892.217601964,713.774081571,178.443520393
7537.0,880.608970294,704.487176235,176.121794059
7538.0,857.56037938,686.048303504,171.512075876
7539.0,883.684761591,706.947809273,176.736952318
7540.0,857.679442269,686.143553815,171.535888454
7541.0,849.077148544,679.261718835,169.815429709
7542.0,965.282528133,772.226022506,193.056505627
7543.0,994.730749327,795.784599462,198.946149865
7544.0,559.913078978,447.930463182,111.982615796
7545.0,823.250423555,658.600338844,164.650084711
7546.0,718.187345987,574.54987679,143.637469197
7547.0,510.124947593,408.099958074,102.024989519
7548.0,566.312709258,453.050167406,113.262541852
7549.0,536.566830842,429.253464674,107.313366168
7550.0,522.785301449,418.228241159,104.55706029
7551.0,538.313086546,430.650469237,107.662617309
7552.0,470.923491415,376.738793132,94.184698283
7553.0,458.858452004,367.086761603,91.7716904008
7554.0,487.522842513,390.01827401,97.5045685026
7555.0,455.554456837,364.44356547,91.1108913674
7556.0,427.872335162,342.29786813,85.5744670324
7557.0,404.555852748,323.644682198,80.9111705496
7558.0,367.695966718,294.156773374,73.5391933436
7559.0,530.316029173,424.252823338,106.063205835
7560.0,733.496849121,586.797479297,146.699369824
7561.0,773.343229281,618.674583425,154.668645856
7562.0,767.191646687,613.75331735,153.438329337
7563.0,687.280604404,549.824483523,137.456120881
7564.0,721.392122081,577.113697665,144.278424416
7565.0,764.582185038,611.66574803,152.916437008
7566.0,750.483154608,600.386523686,150.096630922
7567.0,795.786583843,636.629267074,159.157316769
7568.0,534.979325656,427.983460525,106.995865131
7569.0,583.348624281,466.678899425,116.669724856
7570.0,545.814048548,436.651238838,109.16280971
7571.0,607.439015473,485.951212378,121.487803095
7572.0,673.518918826,538.815135061,134.703783765
7573.0,597.983437711,478.386750169,119.596687542
7574.0,624.990869682,499.992695746,124.998173936
7575.0,622.232579422,497.786063538,124.446515884
7576.0,464.58339258,371.666714064,92.916678516
7577.0,472.788810008,378.231048006,94.5577620016
7578.0,498.942957942,399.154366354,99.7885915884
7579.0,449.740219094,359.792175275,89.9480438188
7580.0,427.713584643,342.170867714,85.5427169286
7581.0,383.084845112,306.46787609,76.6169690224
7582.0,374.224581794,299.379665435,74.8449163588
