hour_ending,cooling,poolpump,plugload,other,total
4873.0,100.138294864,1048.44012,7700.05722507,17966.8001918,26815.4358318
4874.0,88.0011496194,806.4924,7164.7027455,16717.6397395,24776.8360346
4875.0,85.8583019199,1016.180424,6781.44845352,15823.3797249,23706.8669043
4876.0,82.5511143697,1161.349056,6543.68788371,15268.605062,23056.1931161
4877.0,68.2413997369,1145.219208,6595.6615086,15389.8768534,23198.9989697
4878.0,82.4861795909,1532.33556,6665.98562493,15553.9664582,23834.7738227
4879.0,82.4861795909,2822.7234,5640.15046335,13160.3510811,21705.7111241
4880.0,84.2155571926,3693.735192,5449.69631352,12715.9580649,21943.6051276
4881.0,130.385650382,4516.35744,5089.75569084,11876.096612,21612.5953932
4882.0,237.646272449,6209.99148,4476.90966207,10446.1225448,21370.6699593
4883.0,259.827137017,7484.249472,4272.99226308,9970.31528052,21987.3841526
4884.0,382.475474787,8097.183696,4192.18915341,9781.77469129,22453.6230155
4885.0,497.65306468,7532.639016,4674.56428167,10907.3166572,23612.1730196
4886.0,709.013047978,7242.301752,5197.97529219,12128.6090151,25277.8991073
4887.0,721.955528369,6548.718288,5564.87263992,12984.7028265,25820.2492828
4888.0,719.020543163,5468.018472,6190.62343152,14444.7880069,26822.4504536
4889.0,718.85490639,4548.617136,7100.34358707,16567.4683698,28935.2839993
4890.0,708.931878259,3177.580056,8303.07538161,19373.8425571,31563.429873
4891.0,592.361638324,2419.4772,9061.78871838,21144.1736762,33217.8012329
4892.0,479.909965781,2209.789176,9947.13568128,23209.9832563,35846.8180794
4893.0,315.101480474,1774.28328,12078.3905884,28182.9113729,42350.6867218
4894.0,202.328088128,1274.257992,11814.8273657,27567.9305201,40859.3439659
4895.0,194.168141309,887.14164,10625.1658036,24792.0535419,36498.5291268
4896.0,188.766280019,983.920728,9197.13108807,21459.9725388,31829.7906349
4897.0,133.502519763,1048.44012,7981.86248619,18624.3458011,27788.1509271
4898.0,131.36415823,806.4924,7464.86737722,17418.0238802,25820.7478156
4899.0,129.000321932,1016.180424,6989.63644665,16309.1517089,24443.9689014
4900.0,165.57994906,1161.349056,6804.48884193,15877.1406312,24008.5584782
4901.0,127.961365471,1145.219208,6829.33358658,15935.111702,24037.6258621
4902.0,84.1244381509,1532.33556,6972.68915697,16269.6080329,24858.7571881
4903.0,84.1244381509,2822.7234,5880.67630752,13721.5780509,22509.1021966
4904.0,128.651786613,3693.735192,5611.486131,13093.467639,22527.3407486
