hour_ending,total,pumping,other
6884.0,62.0378613238,49.630289059,12.4075722648
6885.0,58.1496945277,46.5197556222,11.6299389055
6886.0,49.0773053369,39.2618442695,9.81546106738
6887.0,47.003616379,37.6028931032,9.4007232758
6888.0,43.4706648211,34.7765318569,8.69413296422
6889.0,40.744147858,32.5953182864,8.1488295716
6890.0,39.9185124395,31.9348099516,7.9837024879
6891.0,42.6834310501,34.1467448401,8.53668621002
6892.0,44.5075093001,35.6060074401,8.90150186002
6893.0,47.7428480909,38.1942784727,9.54856961818
6894.0,49.7877358132,39.8301886506,9.95754716264
6895.0,54.6743454409,43.7394763527,10.9348690882
6896.0,48.7220900988,38.977672079,9.74441801976
6897.0,45.4003476014,36.3202780811,9.08006952028
6898.0,41.2337688619,32.9870150895,8.24675377238
6899.0,42.6930314619,34.1544251695,8.53860629238
6900.0,39.1984815514,31.3587852411,7.83969631028
6901.0,39.2272827869,31.3818262295,7.84545655738
6902.0,42.1842096343,33.7473677074,8.43684192686
6903.0,39.6785021435,31.7428017148,7.9357004287
6904.0,44.814722479,35.8517779832,8.9629444958
6905.0,48.3668748606,38.6934998885,9.67337497212
6906.0,49.0581045132,39.2464836106,9.81162090264
6907.0,52.9558717211,42.3646973769,10.5911743442
6908.0,62.450679033,49.9605432264,12.4901358066
6909.0,56.4600220435,45.1680176348,11.2920044087
6910.0,55.2887717988,44.231017439,11.0577543598
6911.0,51.5350107685,41.2280086148,10.3070021537
6912.0,52.1782383619,41.7425906895,10.4356476724
6913.0,53.0614762514,42.4491810011,10.6122952503
6914.0,46.0627760185,36.8502208148,9.2125552037
6915.0,49.0389036896,39.2311229517,9.80778073792
6916.0,48.2900715659,38.6320572527,9.65801431318
6917.0,43.3074578198,34.6459662558,8.66149156396
6918.0,47.0420180264,37.6336144211,9.40840360528
6919.0,52.6774597777,42.1419678222,10.5354919555
6920.0,56.7000323396,45.3600258717,11.3400064679
6921.0,56.5848273975,45.267861918,11.3169654795
6922.0,52.965472133,42.3723777064,10.5930944266
6923.0,45.6019562501,36.4815650001,9.12039125002
6924.0,49.4517213988,39.561377119,9.89034427976
6925.0,48.7508913343,39.0007130674,9.75017826686
6926.0,48.8852971001,39.1082376801,9.77705942002
6927.0,46.0531756067,36.8425404854,9.21063512134
6928.0,44.6707163014,35.7365730411,8.93414326028
6929.0,47.003616379,37.6028931032,9.4007232758
6930.0,46.6772023764,37.3417619011,9.33544047528
6931.0,53.6086997264,42.8869597811,10.7217399453
6932.0,60.2713855448,48.2171084358,12.054277109
6933.0,60.5881991356,48.4705593085,12.1176398271
6934.0,59.6473587751,47.7178870201,11.929471755
6935.0,64.332359754,51.4658878032,12.8664719508
6936.0,59.896969483,47.9175755864,11.9793938966
6937.0,53.8583104343,43.0866483474,10.7716620869
6938.0,50.5845699961,40.4676559969,10.1169139992
6939.0,50.1717522869,40.1374018295,10.0343504574
6940.0,49.2213115146,39.3770492117,9.84426230292
6941.0,49.6437296356,39.7149837085,9.92874592712
6942.0,55.1159643856,44.0927715085,11.0231928771
6943.0,56.4696224554,45.1756979643,11.2939244911
6944.0,55.0007594435,44.0006075548,11.0001518887
6945.0,51.6022136514,41.2817709211,10.3204427303
6946.0,61.7114473211,49.3691578569,12.3422894642
6947.0,51.3910045909,41.1128036727,10.2782009182
6948.0,42.9234413461,34.3387530769,8.58468826922
6949.0,40.4273342672,32.3418674138,8.08546685344
6950.0,44.1138924145,35.2911139316,8.8227784829
6951.0,43.6722734698,34.9378187758,8.73445469396
6952.0,44.2963002395,35.4370401916,8.8592600479
6953.0,48.5588830974,38.8471064779,9.71177661948
6954.0,48.3572744488,38.685819559,9.67145488976
6955.0,45.3331447185,36.2665157748,9.0666289437
6956.0,57.6600735238,46.128058819,11.5320147048
6957.0,56.5944278093,45.2755422474,11.3188855619
6958.0,58.8313237685,47.0650590148,11.7662647537
6959.0,49.8069366369,39.8455493095,9.96138732738
6960.0,48.0500612698,38.4400490158,9.61001225396
6961.0,51.4390066501,41.1512053201,10.28780133
6962.0,42.7026318738,34.162105499,8.54052637476
6963.0,42.5202240488,34.016179239,8.50404480976
6964.0,47.6276431488,38.102114519,9.52552862976
6965.0,48.222868683,38.5782949464,9.6445737366
6966.0,50.1717522869,40.1374018295,10.0343504574
6967.0,61.961058029,49.5688464232,12.3922116058
6968.0,55.3847759172,44.3078207338,11.0769551834
6969.0,51.4006050027,41.1204840022,10.2801210005
6970.0,41.0705618606,32.8564494885,8.21411237212
6971.0,48.4244773317,38.7395818654,9.68489546634
6972.0,42.1650088106,33.7320070485,8.43300176212
6973.0,42.203410458,33.7627283664,8.4406820916
6974.0,38.6896597237,30.951727779,7.73793194474
6975.0,44.8051220672,35.8440976538,8.96102441344
6976.0,47.1380221448,37.7104177158,9.42760442896
6977.0,45.5827554264,36.4662043411,9.11655108528
6978.0,41.3681746277,33.0945397022,8.27363492554
6979.0,47.0228172027,37.6182537622,9.40456344054
6980.0,50.1237502277,40.0990001822,10.0247500455
6981.0,59.5705554804,47.6564443843,11.9141110961
6982.0,54.5303392632,43.6242714106,10.9060678526
6983.0,52.1782383619,41.7425906895,10.4356476724
6984.0,50.651772879,40.5214183032,10.1303545758
6985.0,49.0197028659,39.2157622927,9.80394057318
6986.0,47.2244258514,37.7795406811,9.44488517028
6987.0,51.3142012961,41.0513610369,10.2628402592
6988.0,53.2726853119,42.6181482495,10.6545370624
6989.0,49.8357378724,39.8685902979,9.96714757448
6990.0,58.2648994698,46.6119195758,11.652979894
6991.0,55.4711796238,44.376943699,11.0942359248
6992.0,60.6170003711,48.4936002969,12.1234000742
6993.0,58.6009138843,46.8807311074,11.7201827769
6994.0,52.7638634843,42.2110907874,10.5527726969
6995.0,54.0119170238,43.209533619,10.8023834048
6996.0,53.1958820172,42.5567056138,10.6391764034
6997.0,47.1380221448,37.7104177158,9.42760442896
6998.0,45.0835340106,36.0668272085,9.01670680212
6999.0,46.8308089659,37.4646471727,9.36616179318
7000.0,49.5669263409,39.6535410727,9.91338526818
7001.0,48.098063329,38.4784506632,9.6196126658
7002.0,45.8899686053,36.7119748842,9.17799372106
7003.0,48.0788625053,38.4630900042,9.61577250106
7004.0,48.9717008067,39.1773606454,9.79434016134
7005.0,57.3144586975,45.851566958,11.4628917395
7006.0,48.8852971001,39.1082376801,9.77705942002
7007.0,46.8020077303,37.4416061842,9.36040154606
7008.0,49.6341292238,39.707303379,9.92682584476
7009.0,44.8243228909,35.8594583127,8.96486457818
7010.0,44.2482981803,35.3986385442,8.84965963606
7011.0,43.3938615264,34.7150892211,8.67877230528
7012.0,46.5907986698,37.2726389358,9.31815973396
7013.0,45.6979603685,36.5583682948,9.1395920737
7014.0,47.5700406777,38.0560325422,9.51400813554
7015.0,56.0376039225,44.830083138,11.2075207845
7016.0,57.765678054,46.2125424432,11.5531356108
7017.0,47.8484526211,38.2787620969,9.56969052422
7018.0,41.0033589777,32.8026871822,8.20067179554
7019.0,43.5186668803,34.8149335042,8.70373337606
7020.0,44.1618944738,35.329515579,8.83237889476
7021.0,44.4883084764,35.5906467811,8.89766169528
7022.0,48.8372950409,39.0698360327,9.76745900818
7023.0,49.8165370488,39.853229639,9.96330740976
7024.0,48.1652662119,38.5322129695,9.63305324238
7025.0,48.0212600343,38.4170080274,9.60425200686
7026.0,53.1094783106,42.4875826485,10.6218956621
7027.0,57.7560776422,46.2048621138,11.5512155284
7028.0,57.4488644632,45.9590915706,11.4897728926
7029.0,54.607142558,43.6857140464,10.9214285116
7030.0,51.1125926474,40.8900741179,10.2225185295
7031.0,48.0212600343,38.4170080274,9.60425200686
7032.0,52.2262404211,41.7809923369,10.4452480842
7033.0,41.2049676264,32.9639741011,8.24099352528
7034.0,44.3059006514,35.4447205211,8.86118013028
7035.0,41.4161766869,33.1329413495,8.28323533738
7036.0,40.7633486816,32.6106789453,8.15266973632
7037.0,44.3155010632,35.4524008506,8.86310021264
7038.0,45.1411364816,36.1129091853,9.02822729632
7039.0,53.0038737803,42.4030990242,10.6007747561
7040.0,55.4711796238,44.376943699,11.0942359248
7041.0,50.6613732909,40.5290986327,10.1322746582
7042.0,46.5907986698,37.2726389358,9.31815973396
7043.0,40.8401519764,32.6721215811,8.16803039528
7044.0,41.838594808,33.4708758464,8.3677189616
7045.0,41.5889841001,33.2711872801,8.31779682002
7046.0,46.8788110251,37.5030488201,9.37576220502
7047.0,48.3956760961,38.7165408769,9.67913521922
7048.0,54.3191302027,43.4553041622,10.8638260405
7049.0,49.864539108,39.8916312864,9.9729078216
7050.0,53.3590890185,42.6872712148,10.6718178037
7051.0,59.349746008,47.4797968064,11.8699492016
7052.0,59.349746008,47.4797968064,11.8699492016
7053.0,68.0093174896,54.4074539917,13.6018634979
7054.0,61.8362526751,49.4690021401,12.367250535
7055.0,56.2776142185,45.0220913748,11.2555228437
7056.0,57.0456471659,45.6365177327,11.4091294332
7057.0,50.0853485803,40.0682788642,10.0170697161
7058.0,50.6229716435,40.4983773148,10.1245943287
7059.0,52.2550416567,41.8040333254,10.4510083313
